date,local,school,light rail,peak,Rapid,other
2019-12-22,2785,0,3519,0,5481,455
2020-02-10,17882,6021,10392,434,23380,448
2020-09-07,11841,5086,5635,194,11846,239
2020-05-08,4052,117,2189,58,4977,118
2020-05-09,1245,0,1317,0,2362,98
2020-02-18,20617,6853,12150,485,27552,583
2020-05-25,6901,3708,3349,101,7501,147
2020-04-19,759,0,1075,0,1356,38
2019-08-02,18953,5738,12241,340,25010,503
2020-03-19,15491,5873,7650,330,19246,313
2019-11-13,18610,5744,11636,461,25270,479
2020-07-06,6629,0,4730,137,9443,282
2019-11-17,2914,0,4072,0,6777,447
2020-05-12,4114,893,2176,66,5166,107
2020-09-16,12778,5075,6331,195,12682,267
2020-07-28,11472,5366,5610,179,11497,242
2019-07-18,14092,0,10181,396,20989,757
2020-01-03,7397,0,5790,107,10164,1873
2019-11-18,17675,5681,10889,422,23598,418
2020-07-30,11668,5341,5788,134,11538,274
2019-10-29,18619,5947,11596,461,24841,416
2019-08-03,5447,0,6319,0,7922,771
2020-08-08,1762,0,2370,0,4264,197
2020-06-04,9131,5000,4321,114,9588,193
2020-06-22,8964,4805,4716,138,10045,212
2020-04-20,2987,0,2313,55,3662,75
2019-07-13,4606,0,4575,0,6327,612
2019-12-31,5756,0,4168,30,7016,744
2019-08-09,16883,5284,10381,375,23007,423
2020-03-18,16175,5959,8286,328,20475,285
2019-12-12,17004,3083,11050,445,22538,603
2020-01-30,14100,0,9937,362,21046,650
2019-09-27,18492,4745,12549,329,25249,835
2019-10-30,18782,5822,11303,451,25038,433
2019-08-18,3691,0,3976,0,5976,380
2019-12-17,15744,1162,10292,420,21636,501
2020-06-03,9018,4892,4304,128,9384,159
2020-09-20,1727,0,2173,0,3534,190
2019-11-23,3819,0,5865,0,9533,2411
2020-03-05,18722,5945,11117,445,25349,555
2019-09-09,17892,5813,10480,458,22891,367
2020-04-06,3018,42,1502,54,3387,63
2020-01-29,13618,0,9608,281,20355,458
2019-09-03,18655,5993,10840,473,24236,366
2020-04-25,863,0,889,0,1540,55
2020-01-15,12711,0,9100,364,18994,528
2020-03-14,3163,0,4371,0,7621,585
2020-07-11,1822,0,2667,0,4270,334
2019-09-30,14148,0,10989,414,22670,677
2019-08-27,18837,5460,11722,450,25778,343
2019-07-28,4187,0,4025,0,5751,376
2019-08-08,17055,2072,11270,450,23975,411
2020-04-04,943,0,812,0,1592,65
2019-09-16,18179,5790,11234,496,24422,467
2020-06-25,9583,4585,5477,121,10705,230
2020-06-14,1386,0,1971,0,3074,138
2019-08-15,19383,5532,12058,423,26122,375
2020-06-08,1360,0,1867,0,3038,172
2019-10-15,19198,6037,12224,456,25968,527
2020-06-01,1322,0,1542,0,2850,107
2020-01-18,3186,0,4451,0,7001,613
2020-02-12,20332,7082,11709,475,26961,479
2019-12-24,7522,0,5393,75,9896,501
2019-09-28,3638,0,6295,0,9799,965
2019-10-19,3857,0,5451,0,8963,615
2020-09-27,1810,0,2527,0,4055,225
2020-02-29,3954,0,7881,0,10078,1380
2020-05-19,6275,2527,2971,92,6537,124
2020-03-03,19623,2551,12381,514,27706,580
2020-07-02,8635,3290,5171,137,10678,267
2020-01-22,13661,0,9750,456,20720,577
2020-07-16,7046,0,4763,133,10048,299
2020-03-20,14877,5398,7552,262,17962,320
2020-09-24,13115,5071,6317,217,12691,271
2020-08-17,11744,5306,5453,183,11068,214
2020-01-04,2177,0,3309,0,4315,1709
2020-08-09,1420,0,1791,0,3035,128
2020-06-07,1349,0,1920,0,2884,182
2019-07-20,5057,0,5852,0,7379,841
2019-09-23,18224,5626,11444,469,24440,389
2020-08-19,10950,4996,5011,172,10853,217
2020-06-30,8961,3555,5236,151,11014,237
2020-06-28,1614,0,2597,0,3759,181
2019-12-15,2865,0,4046,0,6323,426
2020-05-18,5686,1986,2600,85,6389,107
2019-11-11,17964,5602,11029,468,24134,522
2019-11-07,18777,5639,11606,473,24991,440
2019-12-06,17380,4200,11798,361,23119,828
2019-10-28,17730,5704,11100,436,24233,384
2019-08-14,18996,5567,11713,477,26214,398
2020-07-14,6654,0,4784,119,9775,292
2020-03-21,2670,0,2995,0,5531,277
2020-05-24,1196,0,1584,0,2551,110
2019-11-05,18877,5752,11828,468,24998,528
2020-06-16,9492,4880,4765,152,10258,178
2019-12-03,17741,5010,11082,486,23387,494
2020-02-28,20266,6358,13604,416,27198,923
2020-08-24,11504,5247,5496,156,11230,251
2020-08-18,11925,5133,5715,174,11641,258
2020-04-02,2648,53,1299,54,3201,66
2020-08-22,2036,0,2615,0,4520,246
2020-09-01,12001,5041,5922,187,12148,296
2019-10-31,19023,5652,11724,424,24632,507
2020-08-15,2083,0,2963,0,4659,274
2019-08-07,19435,5776,11904,414,26179,402
2020-08-16,1760,0,2421,0,3573,210
2019-11-29,17761,4542,11838,317,24355,822
2020-04-14,2985,0,1577,47,3631,61
2020-01-24,13403,0,9735,343,19749,741
2020-04-13,747,0,620,0,1292,45
2019-08-21,19447,5656,11715,472,26048,387
